flag,eez,fishing_vessels,fishing_hours
Albania,Croatia,1,11.1625
Albania,Italy,1,33.34541667
Albania,Libya,1,37.27569444
Albania,Malta,1,102.8504167
Albania,Montenegro,3,1083.03875
Algeria,Italy,3,115.9897222
Algeria,Libya,2,104.8352778
Algeria,Malta,4,203.4898611
Algeria,Tunisia,2,65.54430556
Angola,Democratic Republic of the Congo,9,2289.347083
Argentina,Chile,4,199.7363889
Argentina,Mozambique,1,6937.209722
Argentina,Uruguay,16,5862.32375
Australia,Fiji,1,3046.593611
Australia,Indonesia,2,38.77208333
Australia,Kerguélen,2,596.5375
Australia,New Caledonia,1,812.8265278
Australia,New Zealand,1,92.21388889
Australia,Papua New Guinea,1,10.63611111
Australia,Republic of Mauritius,2,41.80541667
Australia,Russia,1,24.42555556
Australia,South Africa,1,34.79722222
Australia,Tonga,1,487.1308333
Bahrain,Qatar,1,1.503888889
Bahrain,Saudi Arabia,1,20.68527778
Belarus,Argentina,1,6.059305556
Belgium,New Zealand,1,2.403611111
Belize,Angola,2,236.3463889
Belize,Australia,1,47.32958333
Belize,Cameroon,1,63.50930556
Belize,Canary Islands,3,57.28166667
Belize,Faeroe,2,1002.731111
Belize,Gabon,2,46.02805556
Belize,Ghana,4,657.1940278
Belize,Guinea,6,3932.979167
Belize,Guinea-Bissau,3,45.53555556
Belize,Indonesia,2,542.1763889
Belize,Iran,1,79.96416667
Belize,Madagascar,1,2600.228472
Belize,Mauritania,9,4774.439028
Belize,Namibia,1,439.2268056
Belize,Nigeria,1,7.88875
Belize,Norway,1,11.77208333
Belize,Republic of Mauritius,3,2450.757917
Belize,Russia,1,19.74916667
Belize,Sao Tome and Principe,1,19.75930556
Belize,Sierra Leone,2,2658.209167
Belize,Singapore,1,138.9540278
Belize,South Africa,1,2003.4375
Belize,Spain,1,3.150138889
Belize,Togo,1,9.049722222
Belize,Western Sahara,10,15882.77472
Bhutan (Kingdom of),India,1,70.40319444
Bonaire,Angola,1,1237.265417
Bonaire,Canary Islands,1,1.555
Bonaire,Cape Verde,1,3.685416667
Bonaire,Gabon,2,676.6166667
Bonaire,Ivory Coast,1,345.605
Bonaire,Mauritania,1,7.361388889
Bonaire,Sierra Leone,2,48.46458333
Bonaire,Spain,1,2.835
Brazil,Uruguay,1,19.24166667
Burkina Faso,Gambia,1,78.83875
Burkina Faso,Senegal,1,1253.271389
Cambodia,Argentina,1,183.4672222
Cambodia,Japan,5,53.92611111
Cambodia,Peru,1,77.26916667
Cambodia,South Korea,2,18.28208333
Cambodia,Uruguay,1,25.47902778
Cameroon,Equatorial Guinea,1,9.558472222
Cameroon,Mauritania,1,1084.12375
Cameroon,Nigeria,1,6.651388889
Canada,Alaska,17,7699.637083
Canada,Azores,1,6.625277778
Canada,Denmark,1,4.324166667
Canada,Greenland,10,315.34125
Canada,Mexico,1,654.7293056
Canada,Russia,1,1283.835556
Canada,Saint-Pierre and Miquelon,6,179.7106944
Canada,United Kingdom,1,2.491805556
Canada,United States,29,8085.783889
Cape Verde,Guinea-Bissau,1,234.5715278
Cape Verde,Senegal,1,5.799722222
Chile,Argentina,7,201.8520833
Chile,Falkland Islands,6,1614.919583
Chile,Mozambique,1,12127.62583
Chile,South Georgia and the South Sandwich Islands,2,11333.09069
China,American Samoa,3,68.62805556
China,Angola,2,3827.953472
China,Argentina,165,17535.47111
China,Cameroon,1,1038.899861
China,Canary Islands,1,86.95222222
China,Chagos Archipelago,1,7.242638889
China,Chile,55,1559.831111
China,Cook Islands,40,84728.80667
China,Easter Island,1,8.076111111
China,Faeroe,1,26.94875
China,Falkland Islands,19,278.1258333
China,Federal Republic of Somalia,8,2712.432083
China,Fiji,88,39883.2675
China,French Polynesia,33,1186.450833
China,Gabon,3,437.4815278
China,Gambia,3,830.1133333
China,Ghana,4,5127.532917
China,Gilbert Islands,43,77649.35181
China,Greece,1,22.86583333
China,Guam,1,69.42944444
China,Guinea,22,41270.97597
China,Guinea-Bissau,21,60257.27
China,Hawaii,2,156.1111111
China,India,4,404.3334722
China,Indonesia,23,66797.10736
China,Iran,7,2102.602083
China,Islas San Félix and San Ambrosio,1,16.22333333
China,Ivory Coast,7,22228.62417
China,Japan,496,17708.93181
China,Japan,49,2026.421528
China,Japan,6,155.5868056
China,Jarvis Island,7,838.2766667
China,Johnston Atoll,3,108.7052778
China,Kenya,1,201.8031944
China,Liberia,5,519.6836111
China,Line Group,85,222871.14
China,Madagascar,5,3142.433056
China,Malaysia,1,7.369166667
China,Marshall Islands,35,92119.96208
China,Mauritania,15,98812.26778
China,Micronesia,48,32910.32458
China,Myanmar,2,1837.330278
China,Namibia,1,1228.509861
China,Nauru,21,10286.80653
China,New Caledonia,3,27.74263889
China,New Caledonia,2,113.32625
China,Norfolk Island,3,214.8955556
China,North Korea,353,32929.83181
China,Northern Mariana Islands,2,301.8658333
China,Oman,4,231.4565278
China,Pakistan,2,120.2105556
China,Palau,5,381.0526389
China,Papua New Guinea,26,21901.89944
China,Peru,174,15445.15778
China,Philippines,3,442.5226389
China,Phoenix Group,35,12518.85014
China,Republic of Mauritius,6,2441.151528
China,Republic of the Congo,1,3119.092222
China,Réunion,2,32.95152778
China,Russia,54,15710.01736
China,Saudi Arabia,1,25.06388889
China,Senegal,11,297.43875
China,Senegal,20,16776.12306
China,Seychelles,12,14679.45125
China,Sierra Leone,8,20958.01292
China,Solomon Islands,71,139436.2115
China,South Africa,14,476.3098611
China,South Georgia and the South Sandwich Islands,4,11050.13458
China,South Korea,1052,51377.19569
China,South Korea,281,11483.21264
China,Sri Lanka,1,16.65430556
China,Taiwan,1299,131341.0044
China,Tanzania,9,13700.50708
China,Tokelau,1,5.557777778
China,Tonga,5,114.2152778
China,Tristan da Cunha,1,9.876527778
China,Tuvalu,12,10622.9575
China,Uruguay,63,3699.756667
China,Uruguay,18,324.9206944
China,Vanuatu,64,274779.3444
China,Vietnam,28,798.81
China,Wake Island,3,19.90916667
China,Wallis and Futuna,4,42.46416667
China,Western Sahara,10,2587.642639
China,Yemen,6,2219.534861
Colombia,Clipperton Island,1,15.13916667
Colombia,Costa Rica,5,64.59680556
Colombia,Costa Rica,1,1.938194444
Colombia,Ecuador,4,124.1648611
Colombia,Galapagos,4,2748.169167
Colombia,Panama,1,3.568611111
Colombia,Peru,7,196.2226389
Comoros,Canary Islands,1,9.426805556
Comoros,Guinea,1,443.6256944
Comoros,Guinea-Bissau,5,25558.18236
Comoros,Mauritania,2,2751.003056
Comoros,Namibia,1,2823.3625
Comoros,Senegal,1,24.67208333
Comoros,Senegal,4,1573.509167
Comoros,Western Sahara,2,5516.330972
Croatia,Montenegro,5,593.8894444
Cyprus,Egypt,4,116.8215278
Cyprus,Israel,1,50.46125
Cyprus,Lebanon,4,160.1408333
Cyprus,Libya,2,3159.335
Cyprus,Palestine,1,10.29444444
Cyprus,Tunisia,2,2925.674028
Cyprus,Turkey,6,2796.624583
Denmark,Western Sahara,1,710.1791667
Denmark,Canada,7,2012.679583
Denmark,Russia,2,549.1175
Dominica,Indonesia,1,21.55097222
Dominica,New Zealand,1,5571.324722
Dominica,Singapore,1,307.9433333
Ecuador,Colombia,1,18.80472222
Ecuador,Gilbert Islands,1,28.23444444
Ecuador,Line Group,6,365.53375
Ecuador,Peru,6,2913.838889
Ecuador,Phoenix Group,2,29.54888889
Ecuador,Spain,1,2.186111111
Ecuador,Tokelau,2,39.35986111
Ecuador,Tuvalu,1,7.354027778
Equatorial Guinea,Indonesia,5,67.31638889
Equatorial Guinea,Singapore,10,511
Estonia,Canada,3,64.35111111
Estonia,Russia,5,44.49611111
Faroe Islands,Canada,3,84.96652778
Faroe Islands,Mauritania,2,2761.473472
Faroe Islands,Russia,8,47673.08431
Faroe Islands,Saint-Pierre and Miquelon,1,6.453888889
Faroe Islands,Western Sahara,2,936.6468056
Federated States of Micronesia,Cook Islands,1,1604.424167
Federated States of Micronesia,Gilbert Islands,16,6340.9075
Federated States of Micronesia,Line Group,6,772.4123611
Federated States of Micronesia,Marshall Islands,18,46730.28347
Federated States of Micronesia,Nauru,12,2203.661528
Federated States of Micronesia,Papua New Guinea,15,3219.306667
Federated States of Micronesia,Phoenix Group,7,401.705
Federated States of Micronesia,Solomon Islands,12,2462.767222
Federated States of Micronesia,Tuvalu,14,1961.594167
Fiji,Gilbert Islands,8,9807.955417
Fiji,Howland and Baker islands,1,9.477083333
Fiji,Line Group,4,3745.837917
Fiji,Niue,2,3911.310417
Fiji,Phoenix Group,6,5865.583889
Fiji,Solomon Islands,10,16786.37653
Fiji,Tonga,1,16.97902778
Fiji,Tuvalu,11,23388.08819
Fiji,Vanuatu,8,10026.27208
France,Angola,15,3714.335694
France,Brazil,1,14.60597222
France,British Virgin Islands,1,20.36902778
France,Canada,3,63.30694444
France,Cape Verde,2,98.81222222
France,Comores,3,57.08666667
France,Democratic Republic of the Congo,2,1141.208611
France,Equatorial Guinea,1,5.749583333
France,Gabon,13,12017.16333
France,Gambia,1,3.408194444
France,Ghana,10,2665.264722
France,Guinea,9,878.8052778
France,Guinea-Bissau,10,312.8940278
France,Ivory Coast,12,3897.257222
France,Japan,1,9.669444444
France,Liberia,10,395.9384722
France,Libya,4,103.7544444
France,Madagascar,3,8682.825417
France,Mauritania,4,623.6268056
France,Morocco,1,27.25055556
France,Republic of Mauritius,5,1054.359861
France,Republic of the Congo,3,8177.080833
France,Saint Lucia,1,6.770555556
France,Saint Vincent and the Grenadines,1,22.43722222
France,Sao Tome and Principe,12,3795.745278
France,Senegal,6,1014.133333
France,Senegal,7,375.8331944
France,Seychelles,10,1196.034583
France,Sierra Leone,2,26.46375
France,Taiwan,1,64.53652778
France,Tanzania,1,28.70402778
France,Tunisia,4,202.9815278
France,United Arab Emirates,1,825.1715278
France,United States Virgin Islands,1,6.145555556
France,Western Sahara,1,10.26277778
France,Brazil,6,45.07291667
France,Suriname,3,29.21513889
France,French Guiana,1,3022.2825
France,Suriname,1,13.24097222
France,Venezuela,1,108.6413889
France,Madagascar,9,44869.78861
France,Republic of Mauritius,6,3685.813194
France,Canada,3,5620.349167
Germany,Canada,1,31.39152778
Germany,Cape Verde,1,21.93638889
Germany,Chile,1,1.96
Germany,Mauritania,2,366.395
Germany,Senegal,1,28.14680556
Germany,Western Sahara,2,2018.94375
Ghana,Benin,3,1963.474722
Ghana,Ivory Coast,23,33116.84028
Ghana,Liberia,1,98.18263889
Ghana,Taiwan,2,325.5163889
Ghana,Togo,3,76.51430556
Greece,Albania,16,253.4656944
Greece,Egypt,2,204.1911111
Greece,Gambia,1,100.1813889
Greece,Guinea,1,340.9744444
Greece,Guinea-Bissau,2,3524.097639
Greece,Madagascar,2,15666.48681
Greece,Senegal,2,80.24472222
Greece,Sierra Leone,1,451.3259722
Greece,Turkey,62,18615.66333
Guatemala,Angola,1,6.599305556
Guatemala,Equatorial Guinea,1,11.33083333
Guatemala,Gabon,1,371.6931944
Guatemala,Ivory Coast,2,81.02083333
Guatemala,Liberia,1,8.45625
Guatemala,Sao Tome and Principe,1,21.14097222
Guatemala,Sierra Leone,1,33.11333333
Honduras,Denmark,1,3286.224028
Hungary,Western Sahara,2,732.5066667
Iceland,Canada,1,1848.444861
Iceland,Russia,13,18487.34681
Iceland,Turkey,2,27.03097222
Iceland,Western Sahara,1,473.8308333
India,Myanmar,1,8.388055556
India,Pakistan,1,53.16763889
India,Sri Lanka,1,4.659027778
India,Tunisia,1,191.0225
Indonesia,Bangladesh,1,90.67708333
Indonesia,Brunei,1,349.0826389
Indonesia,Canary Islands,1,66.29319444
Indonesia,East Timor,1,16.5525
Indonesia,India,1,53.31930556
Indonesia,Malaysia,2,231.3518056
Indonesia,Mauritania,3,3680.651528
Indonesia,Myanmar,1,26.25222222
Indonesia,Singapore,16,7651.168333
Indonesia,Western Sahara,2,122.5506944
Iran,Kuwait,4,439.2279167
Iran,Oman,5,809.4241667
Iran,Qatar,1,33.47847222
Iran,Saudi Arabia,7,734.2675
Iran,United Arab Emirates,5,914.9118056
Ireland,Namibia,1,246.8744444
Israel,Cyprus,2,161.3740278
Israel,Egypt,1,16.26736111
Israel,Lebanon,1,11.65972222
Italy,Albania,39,6826.702361
Italy,Algeria,5,281.9938889
Italy,Angola,2,12558.52569
Italy,Democratic Republic of the Congo,2,53.44236111
Italy,Egypt,3,324.69
Italy,Gambia,6,14015.10264
Italy,Guinea,7,11519.51653
Italy,Guinea-Bissau,3,11471.42944
Italy,Lebanon,1,6.009444444
Italy,Libya,76,25541.01292
Italy,Montenegro,28,7291.840833
Italy,Republic of Mauritius,1,21.21847222
Italy,Senegal,5,131.5622222
Italy,Senegal,2,1772.280417
Italy,Seychelles,1,402.84625
Italy,Sierra Leone,6,29489.93556
Italy,Syria,2,212.4816667
Italy,Tunisia,246,291459.9835
Italy,Turkey,24,6205.356667
Ivory Coast,Guinea,1,138.6633333
Ivory Coast,Guinea-Bissau,1,83.06
Ivory Coast,Mauritania,2,1515.3575
Ivory Coast,Senegal,1,179.5401389
Ivory Coast,Senegal,1,25.72152778
Ivory Coast,Sierra Leone,1,88.86638889
Japan,Alaska,2,4251.140972
Japan,Angola,19,46013.98639
Japan,Argentina,1,4.216388889
Japan,Bassas da India,1,14.44333333
Japan,Brazil,2,3609.956667
Japan,Canada,2,63.69263889
Japan,Canary Islands,2,29.00472222
Japan,Cape Verde,27,48402.09667
Japan,Chile,2,14.28625
Japan,China,1,22.14986111
Japan,Cocos Islands,2,16.09152778
Japan,Colombia,3,12814.5
Japan,Gabon,1,86.61930556
Japan,Gilbert Islands,48,11405.375
Japan,Guam,10,571.3347222
Japan,Hawaii,13,603.6583333
Japan,Indonesia,6,279.4726389
Japan,Islas San Félix and San Ambrosio,2,70.32819444
Japan,Johnston Atoll,1,4.61625
Japan,Juan de Nova Island,1,7.412083333
Japan,Line Group,1,1647.368056
Japan,Madagascar,5,19178.64778
Japan,Marshall Islands,43,29166.71722
Japan,Mauritania,14,10304.35042
Japan,Micronesia,96,138016.5649
Japan,Mozambique,18,95645.53792
Japan,Namibia,8,12595.85111
Japan,Nauru,34,7569.893472
Japan,New Caledonia,2,8.394722222
Japan,New Zealand,5,6656.321528
Japan,Northern Mariana Islands,5,83.85527778
Japan,Palau,8,3161.623472
Japan,Panama,1,18.93666667
Japan,Papua New Guinea,57,102244.5206
Japan,Phoenix Group,3,1054.758056
Japan,Republic of Mauritius,4,1727.082361
Japan,Russia,3,70.57486111
Japan,Sao Tome and Principe,1,269.7238889
Japan,Solomon Islands,61,30138.30736
Japan,South Africa,13,22626.47292
Japan,South Korea,4,890.4225
Japan,Tristan da Cunha,3,550.4986111
Japan,Tuvalu,20,796.8394444
Japan,Uruguay,2,3634.273611
Japan,Wake Island,2,11.13597222
Japan,Western Sahara,20,23119.83514
Kiribati,American Samoa,1,1.962361111
Kiribati,Cook Islands,5,196.7961111
Kiribati,Howland and Baker islands,1,8.196944444
Kiribati,Indonesia,2,62.23986111
Kiribati,Japan,1,7.557777778
Kiribati,Jarvis Island,1,22.85236111
Kiribati,Marshall Islands,10,727.1663889
Kiribati,Micronesia,13,2125.515833
Kiribati,Nauru,10,717.2090278
Kiribati,Niue,1,1848.110278
Kiribati,Northern Mariana Islands,1,5.537638889
Kiribati,Papua New Guinea,10,2498.817222
Kiribati,Samoa,1,547.9193056
Kiribati,Singapore,2,1472.434028
Kiribati,Solomon Islands,10,1652.483472
Kiribati,South Korea,2,32.46972222
Kiribati,Tokelau,4,4749.174028
Kiribati,Tuvalu,13,2283.668056
Latvia,Russia,13,901.1365278
Latvia,Western Sahara,2,721.11
Lesotho (Kingdom of),Indonesia,1,10.40055556
Lesotho (Kingdom of),Singapore,3,196.7495833
Liberia,Greece,2,324.4193056
Liberia,Poland,1,22.93597222
Liberia,South Korea,1,9.063472222
Libya,Italy,2,96.71805556
Libya,Malta,6,1335.945417
Libya,Tunisia,1,439.4968056
Lithuania,Angola,1,593.8393056
Lithuania,Guinea,1,230.87625
Lithuania,Guinea-Bissau,1,15.15847222
Lithuania,Mauritania,5,1075.784167
Lithuania,Russia,21,1437.92125
Lithuania,Western Sahara,6,3759.447083
Malaysia,Australia,1,1042.343889
Malaysia,Bangladesh,1,320.1269444
Malaysia,Brunei,2,125.98375
Malaysia,Indonesia,4,155.3118056
Malaysia,Madagascar,5,36076.88181
Malaysia,Myanmar,1,134.4708333
Malaysia,Republic of Mauritius,5,3472.085
Malaysia,Réunion,1,35.19638889
Malaysia,Singapore,3,1205.385
Maldives,South Korea,1,12.11
Malta,Algeria,1,2.784166667
Malta,Israel,1,4.122083333
Malta,Libya,29,15206.90653
Malta,Tunisia,26,6040.399583
Marshall Islands,Gilbert Islands,9,13211.92639
Marshall Islands,Greece,1,682.19
Marshall Islands,Howland and Baker islands,1,2.496111111
Marshall Islands,Israel,1,42.79944444
Marshall Islands,Italy,1,6.114444444
Marshall Islands,Jarvis Island,1,18.68083333
Marshall Islands,Libya,1,909.9813889
Marshall Islands,Line Group,3,257.8022222
Marshall Islands,Micronesia,9,645.7966667
Marshall Islands,Nauru,9,3596.155833
Marshall Islands,Papua New Guinea,8,1797.993611
Marshall Islands,Phoenix Group,9,1150.135972
Marshall Islands,Republic of the Congo,1,94.84763889
Marshall Islands,Solomon Islands,7,518.11875
Marshall Islands,Tunisia,1,1.315277778
Marshall Islands,Turkey,1,9.282222222
Marshall Islands,Tuvalu,9,1658.140972
Mauritania,Canary Islands,2,74.97125
Mauritania,Iran,1,2231.55375
Mauritania,Kuwait,1,5.487361111
Mauritania,Qatar,1,9.06625
Mauritania,Saudi Arabia,1,34.30666667
Mauritania,Western Sahara,3,284.2406944
Mauritius,Bassas da India,2,14.40736111
Mauritius,Juan de Nova Island,1,49.59819444
Mauritius,Madagascar,1,15.49458333
Mauritius,Mozambique,3,6803.079861
Mauritius,Seychelles,1,20.30263889
Mauritius,Singapore,1,2.575555556
Mauritius,South Africa,1,15.13569444
Mexico,Clipperton Island,25,3286.602361
Mexico,Colombia,1,143.5895833
Mexico,Cuba,1,65.89819444
Mexico,Guatemala,1,86.48
Mexico,Marshall Islands,1,2.190833333
Moldova,Russia,1,17.36527778
Moldova,Ukraine,1,589.5565278
Morocco,Canary Islands,6,59.64208333
Morocco,Cyprus,2,641.8709722
Morocco,Italy,1,6.012361111
Morocco,Mauritania,1,145.6969444
Morocco,Syria,2,18.05833333
Morocco,Turkey,2,512.2548611
Mozambique,Bassas da India,3,46.48194444
Mozambique,Europa Island,1,47.99402778
Namibia,Angola,6,22545.46847
Namibia,Democratic Republic of the Congo,3,680.9830556
Namibia,Mauritania,1,2097.73
Namibia,South Africa,1,16.46986111
Namibia,Western Sahara,1,349.3334722
Netherlands,Angola,1,6.148888889
Netherlands,Canada,1,15.42263889
Netherlands,Japan,1,40.70597222
Netherlands,Libya,2,3246.043056
Netherlands,Mauritania,4,3029.418611
Netherlands,Namibia,1,1988.256944
Netherlands,Ukraine,1,71.60333333
Netherlands,Western Sahara,5,10863.47194
New Zealand,American Samoa,2,160.0238889
New Zealand,Gilbert Islands,1,1663.468333
New Zealand,Phoenix Group,1,851.6348611
New Zealand,Samoa,1,2624.300417
New Zealand,Tokelau,1,2089.666667
New Zealand,Australia,2,1691.182917
New Zealand,China,1,34.29930556
New Zealand,Christmas Island,1,17.88986111
New Zealand,Gilbert Islands,2,438.58625
New Zealand,Heard and McDonald Islands,1,701.0786111
New Zealand,Japan,1,23.65
New Zealand,Line Group,1,34.8825
New Zealand,Macquarie Island,1,1257.168194
New Zealand,Marshall Islands,2,53.07583333
New Zealand,Mozambique,1,137.4136111
New Zealand,Nauru,1,21.52875
New Zealand,New Caledonia,1,189.8590278
New Zealand,New Caledonia,1,48.67583333
New Zealand,Phoenix Group,3,1667.125833
New Zealand,Solomon Islands,1,65.77958333
New Zealand,South Africa,1,1.938472222
New Zealand,South Georgia and the South Sandwich Islands,2,10082.82028
New Zealand,Turkey,1,16.58694444
New Zealand,Tuvalu,3,2692.631111
New Zealand,United States,1,115.8725
Nigeria,Benin,1,4.651666667
Nigeria,Gabon,1,31.68388889
Norway,Angola,2,1064.01875
Norway,Aruba,1,15.65208333
Norway,Brazil,1,643.0605556
Norway,Canada,7,142.0554167
Norway,Curaçao,1,17.09
Norway,Democratic Republic of the Congo,1,4.99875
Norway,Falkland Islands,1,13.88638889
Norway,Gambia,1,3.715416667
Norway,Japan,1,35.28777778
Norway,Kenya,1,425.2847222
