"","Year","Policy","mean.val","sd.val","lower.val","upper.val"
"1",2014,"Fmsy",4.28957826649846,0.271867874653929,4.01771039184453,4.56144614115239
"2",2014,"Open Access",4.28957826649846,0.271867874653929,4.01771039184453,4.56144614115239
"3",2014,"BAU",4.28957826649846,0.271867874653929,4.01771039184453,4.56144614115239
"4",2015,"Fmsy",6.31614878984523,0.211412646605132,6.10473614324009,6.52756143645036
"5",2015,"Open Access",4.82292261318409,0.262645947571396,4.5602766656127,5.08556856075549
"6",2015,"BAU",4.5276792921623,0.232738290472936,4.29494100168937,4.76041758263524
"7",2016,"Fmsy",5.89114613870529,0.184596155290744,5.70654998341455,6.07574229399604
"8",2016,"Open Access",5.28920684995758,0.244326611062155,5.04488023889543,5.53353346101974
"9",2016,"BAU",4.67659672691216,0.194248622756714,4.48234810415545,4.87084534966888
"10",2017,"Fmsy",5.59617876203689,0.168883269824758,5.42729549221213,5.76506203186165
"11",2017,"Open Access",5.66943492983382,0.221279289319449,5.44815564051437,5.89071421915327
"12",2017,"BAU",4.73050461775156,0.1651326731262,4.56537194462536,4.89563729087776
"13",2018,"Fmsy",5.38626717250562,0.158736959214069,5.22753021329155,5.54500413171968
"14",2018,"Open Access",5.94116781820967,0.200207849936602,5.74095996827307,6.14137566814628
"15",2018,"BAU",4.69234933871192,0.152473056040361,4.53987628267156,4.84482239475228
"16",2019,"Fmsy",5.23418680182056,0.151751035739525,5.08243576608103,5.38593783756008
"17",2019,"Open Access",6.09117978796486,0.188655492689853,5.90252429527501,6.27983528065471
"18",2019,"BAU",4.57268449993309,0.155416775094781,4.41726772483831,4.72810127502787
"19",2020,"Fmsy",5.12255875501229,0.146755369658747,4.97580338535355,5.26931412467104
"20",2020,"Open Access",6.11736539359141,0.19021101037312,5.92715438321829,6.30757640396453
"21",2020,"BAU",4.38722760574019,0.165864158132979,4.22136344760721,4.55309176387317
"22",2021,"Fmsy",5.03982977012868,0.143107953690346,4.89672181643833,5.18293772381903
"23",2021,"Open Access",6.02840318411357,0.201451468480717,5.82695171563285,6.22985465259428
"24",2021,"BAU",4.15395367248671,0.176097931957281,3.97785574052943,4.33005160444399
"25",2022,"Fmsy",4.97807548563521,0.140415947103165,4.83765953853204,5.11849143273837
"26",2022,"Open Access",5.84140211225846,0.215427813268234,5.62597429899023,6.05682992552669
"27",2022,"BAU",3.89049968664621,0.182173940551598,3.70832574609461,4.0726736271978
"28",2023,"Fmsy",4.93172746848935,0.138418193242634,4.79330927524672,5.07014566173198
"29",2023,"Open Access",5.57838808322931,0.226525621159403,5.35186246206991,5.80491370438872
"30",2023,"BAU",3.61234850193487,0.183075376701533,3.42927312523334,3.7954238786364
"31",2024,"Fmsy",4.89679871501914,0.136931450295959,4.75986726472318,5.0337301653151
"32",2024,"Open Access",5.26268769126724,0.231969180680858,5.03071851058638,5.49465687194809
"33",2024,"BAU",3.33190020993415,0.179313159754278,3.15258705017987,3.51121336968842
"34",2025,"Fmsy",4.8703927388875,0.135823121774661,4.73456961711284,5.00621586066216
"35",2025,"Open Access",4.91603235342585,0.231237265724266,4.68479508770159,5.14726961915012
"36",2025,"BAU",3.05828168117145,0.171994237199453,2.88628744397199,3.2302759183709
"37",2026,"Fmsy",4.85038148355693,0.134995751538369,4.71538573201856,4.9853772350953
"38",2026,"Open Access",4.55675950226303,0.225110622705505,4.33164887955752,4.78187012496853
"39",2026,"BAU",2.7976386326803,0.162313639044537,2.63532499363576,2.95995227172483
"40",2027,"Fmsy",4.83518778652916,0.134377221381853,4.7008105651473,4.96956500791101
"41",2027,"Open Access",4.19907815493512,0.214920399855852,3.98415775507927,4.41399855479097
"42",2027,"BAU",2.5536645501845,0.151316490860856,2.40234805932365,2.70498104104536
"43",2028,"Fmsy",4.82363486690005,0.133914039920964,4.68972082697909,4.95754890682102
"44",2028,"Open Access",3.85312975352304,0.202072898002971,3.65105685552007,4.05520265152601
"45",2028,"BAU",2.32818672382285,0.139815668179903,2.18837105564294,2.46800239200275
"46",2029,"Fmsy",4.81484009248504,0.133566517731014,4.68127357475402,4.94840661021605
"47",2029,"Open Access",3.52551592308253,0.187800259901313,3.33771566318122,3.71331618298385
"48",2029,"BAU",2.12170398068711,0.128390594112829,1.99331338657428,2.25009457479994
"49",2030,"Fmsy",4.80813877261729,0.133305212003836,4.67483356061345,4.94144398462113
"50",2030,"Open Access",3.22001696507701,0.173064794684174,3.04695217039284,3.39308175976119
"51",2030,"BAU",1.93382943699669,0.11742173340061,1.81640770359608,2.0512511703973
"52",2031,"Fmsy",4.80302876898591,0.13310828162506,4.66992048736085,4.93613705061097
"53",2031,"Open Access",2.93831704955385,0.158553056520587,2.77976399303326,3.09687010607444
"54",2031,"BAU",1.76362898601658,0.107135365950336,1.65649362006624,1.87076435196691
"55",2032,"Fmsy",4.79912981316652,0.132959516601753,4.66617029656476,4.93208932976827
"56",2032,"Open Access",2.68063822534907,0.144713307837906,2.53592491751116,2.82535153318697
"57",2032,"BAU",1.60986569659935,0.0976460956249043,1.51221960097445,1.70751179222426
"58",2033,"Fmsy",4.79615337611148,0.132846872971405,4.66330650314008,4.92900024908289
"59",2033,"Open Access",2.44624711914897,0.131807398078467,2.3144397210705,2.57805451722743
"60",2033,"BAU",1.47116778164614,0.0889921108890431,1.3821756707571,1.56015989253518
"61",2034,"Fmsy",4.79388020544528,0.132761386984314,4.66111881846096,4.92664159242959
"62",2034,"Open Access",2.23383457581539,0.119961510627125,2.11387306518826,2.35379608644251
"63",2034,"BAU",1.34613856878169,0.0811622006693675,1.26497636811232,1.42730076945106
"64",2035,"Fmsy",4.79214349233514,0.13269637276207,4.65944711957307,4.92483986509721
"65",2035,"Open Access",2.04178574815733,0.109209013897788,1.93257673425954,2.15099476205512
"66",2035,"BAU",1.23342458775625,0.0741153413791604,1.15930924637709,1.30753992913541
